/control/execute exercise5d.in
/gamos/setParam GmGeometryFromText:FileName exercise5.geom
/gamos/geometry GmGeometryFromText
/gamos/physicsList G4QGSP_BIC_NHP
<<< Geant4 Physics List simulation engine: QGSP_BIC_NHP 1.3

WARNING: G4QStoppingPhysics is deprecated and will be removed in GEANT4 version 10.0.
/gamos/generator GmGenerator
 GmGenUtils::FileInPath ./isotopes.dat in .
 GmGenUtils::FileInPath /home/arce/gamosnew/GAMOS.5.0.0/data/isotopes.dat in /home/arce/gamosnew/GAMOS.5.0.0/data
/run/initialize
 GmGenUtils::FileInPath ./exercise5.geom in .
0x2ab7cf0TEST  G4ParticleHPChannel UpdateData neutronWARNING: model G4LENeutronInelastic is being deprecated and will
disappear in Geant4 version 10.0
@@@ G4ParticleHPInelastic instantiated for particle neutron data directory variable is G4NEUTRONHPDATA pointing to /home/arce/gamosnew/external/geant4/geant4.9.6.p02.gamos/../data/G4NDL4.2/Inelastic
0x30fc4a0TEST  G4ParticleHPChannel UpdateData neutron0x3327c60 0 G4ParticleHPDiscreteTwoBody READ DATA 875292 0 2
0x2fbe160 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x2ec8d80 0 G4ParticleHPDiscreteTwoBody READ DATA 6.90016e+06 0 1
0x2ec8d80 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x3335280 0 G4ParticleHPDiscreteTwoBody READ DATA 6.96396e+06 0 1
0x3335280 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x3338560 0 G4ParticleHPDiscreteTwoBody READ DATA 7.0179e+06 0 1
0x3338560 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x2f33930 0 G4ParticleHPDiscreteTwoBody READ DATA 7.02869e+06 0 1
0x2f33930 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x2ceeb00 0 G4ParticleHPDiscreteTwoBody READ DATA 7.06894e+06 0 1
0x2ceeb00 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x2ceecb0 0 G4ParticleHPDiscreteTwoBody READ DATA 7.07496e+06 0 1
0x2ceecb0 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x2ec3fc0TEST  G4ParticleHPChannel UpdateData neutron0x3487fc0TEST  G4ParticleHPChannel UpdateData neutron0x3657d50TEST  G4ParticleHPChannel UpdateData neutron0x365c410TEST  G4ParticleHPChannel UpdateData neutron0x366efc0TEST  G4ParticleHPChannel UpdateData neutron0x366cc90TEST  G4ParticleHPChannel UpdateData neutron0x3693530TEST  G4ParticleHPChannel UpdateData neutron0x368c0d0TEST  G4ParticleHPChannel UpdateData neutron0x368a9b0TEST  G4ParticleHPChannel UpdateData neutron0x368a950TEST  G4ParticleHPChannel UpdateData neutron0x368aa10TEST  G4ParticleHPChannel UpdateData neutron0x36b6d60TEST  G4ParticleHPChannel UpdateData neutron0x36b4fa0TEST  G4ParticleHPChannel UpdateData neutron0x36bf860TEST  G4ParticleHPChannel UpdateData neutron0x36ca270TEST  G4ParticleHPChannel UpdateData neutron0x36d16a0TEST  G4ParticleHPChannel UpdateData neutron0x36d19a0TEST  G4ParticleHPChannel UpdateData neutron0x36cf7e0TEST  G4ParticleHPChannel UpdateData neutron0x36d7640TEST  G4ParticleHPChannel UpdateData neutron0x36d6e80TEST  G4ParticleHPChannel UpdateData neutron0x36e2c20TEST  G4ParticleHPChannel UpdateData neutron0x36ea290TEST  G4ParticleHPChannel UpdateData neutron0x372cd20 0 G4ParticleHPDiscreteTwoBody READ DATA 1.89691e+06 0 1
0x372cd20 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x372d720 0 G4ParticleHPDiscreteTwoBody READ DATA 2.91838e+06 0 1
0x372d720 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x372e450 0 G4ParticleHPDiscreteTwoBody READ DATA 3.65838e+06 0 1
0x372e450 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x372f240 0 G4ParticleHPDiscreteTwoBody READ DATA 3.90943e+06 0 1
0x372f240 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x3730230 0 G4ParticleHPDiscreteTwoBody READ DATA 5.12255e+06 0 1
0x3730230 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x3731380 0 G4ParticleHPDiscreteTwoBody READ DATA 5.45192e+06 0 1
0x3731380 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x3732690 0 G4ParticleHPDiscreteTwoBody READ DATA 5.50213e+06 0 1
0x3732690 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x3733620 0 G4ParticleHPDiscreteTwoBody READ DATA 5.5181e+06 0 1
0x3733620 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x37345b0 0 G4ParticleHPDiscreteTwoBody READ DATA 5.58916e+06 0 1
0x37345b0 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x3735540 0 G4ParticleHPDiscreteTwoBody READ DATA 5.79788e+06 0 1
0x3735540 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x3736850 0 G4ParticleHPDiscreteTwoBody READ DATA 5.82434e+06 0 1
0x3736850 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x37379a0 0 G4ParticleHPDiscreteTwoBody READ DATA 5.9261e+06 0 1
0x37379a0 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x3738e70 0 G4ParticleHPDiscreteTwoBody READ DATA 6.20184e+06 0 1
